source_commit,source_path,destination_path,source_sha256,destination_sha256,license,authorization,delta
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/types/win32/file.h,src/lib/types/win32/file.h,e67b7f531ea1d691034e701f595ea6e4936740a149a1966672dab1f8250e30e8,e67b7f531ea1d691034e701f595ea6e4936740a149a1966672dab1f8250e30e8,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/types/win32/input.h,src/lib/types/win32/input.h,98a9bf788aff245e3815896b74fbc93d4d199be40fc712f3f00980ae16e678d8,98a9bf788aff245e3815896b74fbc93d4d199be40fc712f3f00980ae16e678d8,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/types/win32/scalar.h,src/lib/types/win32/scalar.h,13ea3d501f8ee6fdec498739fe9d1304c8a678c46157cff899b9e7d6be9c8bbf,13ea3d501f8ee6fdec498739fe9d1304c8a678c46157cff899b9e7d6be9c8bbf,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/types/win32/sync.h,src/lib/types/win32/sync.h,f9f5413904d13b525f67ec420bde944c5f9545bcedf0ec7f907611d18ba1a10b,f9f5413904d13b525f67ec420bde944c5f9545bcedf0ec7f907611d18ba1a10b,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/types/win32/window.h,src/lib/types/win32/window.h,2f2a86d81f69948ea038b2b1a2a77d07c57c05b01c0ada9baa5f1b32b03aaed3,2f2a86d81f69948ea038b2b1a2a77d07c57c05b01c0ada9baa5f1b32b03aaed3,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/verify_component_dependencies.cmake,src/lib/verify_component_dependencies.cmake,01078e052d62f35e9291afdcabfab254aa9a7fb7a95b98a598a2fe4aacb52243,01078e052d62f35e9291afdcabfab254aa9a7fb7a95b98a598a2fe4aacb52243,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/verify_kvm_naming.cmake,src/lib/verify_kvm_naming.cmake,5e38b3e6935fb91c5e1f5538d2df382c3dbb0d55768c859072fa36dbe509b2ab,5e38b3e6935fb91c5e1f5538d2df382c3dbb0d55768c859072fa36dbe509b2ab,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/verify_linux_build_contract.cmake,src/lib/verify_linux_build_contract.cmake,12dd9daa127635203e06791d5c3cfb9dc5095970ea2f88927212ce6b81cd08ee,12dd9daa127635203e06791d5c3cfb9dc5095970ea2f88927212ce6b81cd08ee,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/verify_manifest.cmake,src/lib/verify_manifest.cmake,1235f91932f7d9db8cdaa644730e3fde8e48dd894e294248121309c084a2ff19,1235f91932f7d9db8cdaa644730e3fde8e48dd894e294248121309c084a2ff19,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,src/lib/verify_types_layout.cmake,src/lib/verify_types_layout.cmake,79aa5cb9b04e4f6ccb23b07c08125f02f4d70a2965ff990cdbb3dafc6a7fd80b,79aa5cb9b04e4f6ccb23b07c08125f02f4d70a2965ff990cdbb3dafc6a7fd80b,MIT,owner grant 2026-09-19,unchanged
